Dialogue ID,Character Name,Dialogue,Topic
7235,Albus Dumbledore,"If she means so much to you, surely Lord Voldemort would spare her in exchange for the boy.",threats
1806,Albus Dumbledore,"I see. Well, you can speak Parseltongue, Harry. Why? Because Lord Voldemort can speak Parseltongue. If I'm not mistaken, Harry, he transferred some of his powers to you the night he gave you that scar.",threats
7264,Albus Dumbledore,"Yes. You must be the one to kill me, Severus. It is the only way. Only then will the Dark Lord trust you completely.",threats
3362,Albus Dumbledore,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning.",strategy
5640,Albus Dumbledore,Hide yourself below.  And do not speak or show yourself without my permission.  No matter what.,strategy
1139,Albus Dumbledore,"I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action.",hogwarts academics
3292,Albus Dumbledore,You may begin at the start of the cannon.,strategy
3481,Albus Dumbledore,Priori Incantatem. You saw your parents that night didn't you? They reappeared.,magic
4125,Albus Dumbledore,"In point of fact, when young Potter met those students it was not illegal.",hogwarts academics
4542,Albus Dumbledore,"There is no shame in feeling pain, Harry. It is your greatest strength...",mentoring
3380,Albus Dumbledore,"The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round.",strategy
7322,Albus Dumbledore,"You were the seventh Horcrux, Harry; the Horcrux he never meant to make.",strategy
870,Albus Dumbledore,"Another year, gone! And now, as I understand it, the house cup needs awarded and the points stand thus. In fourth place: Gryffindor, with 312 points!  In third place: Hufflepuff, with 352 points!  Second: Ravenclaw, with 426 points!  And in first place, with 472 points: Slytherin house!  Yes, well done Slytherin, well done Slytherin. However, recent events must be taken into account and I have a few last minute points to award.  First, to Miss Hermione Granger, for the cool use of intellect while others were in grave peril: fifty points!  Second, to Mr Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years: fifty points!  And third, to mister Harry Potter, for pure love and outstanding courage, I award Gryffindor house: sixty points!",hogwarts academics
4944,Albus Dumbledore,"... I was merely curious. In any event, I'm sure you're wondering why I've summoned you here tonight.  The answer lies here.",strategy
1547,Albus Dumbledore,Is there something you wish to tell me?,social dynamics
5645,Albus Dumbledore,"I often talk aloud to myself.  I find it extraordinarily useful. That which sounds sane at a whisper can seem utterly mad when said for all the world to hear. Haven't been whispering to yourself, have you, Draco?",mentoring
5587,Albus Dumbledore,"One wintry afternoon, he lured two younger classmates to this cave. What happened is unclear.  But this much is known:  the children were damaged.",threats
4552,Albus Dumbledore,It is my fault Sirius died tonight.,social dynamics
7272,Albus Dumbledore,"But this is touching, Severus. Don't tell me you've grown to care for the boy?",social dynamics
7313,Albus Dumbledore,"Harry. You wonderful boy. You brave, brave man. Let us walk.",social dynamics
857,Albus Dumbledore,"Relax, dear boy. The stone has been destroyed. My friend Nicholas and I had a little chat and agreed it was best all around.",strategy
1828,Albus Dumbledore,"Only, this time, he chose to act through somebody else, by means of this.",strategy
3378,Albus Dumbledore,Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...,strategy
1364,Albus Dumbledore,There's been another attack.,threats
5576,Albus Dumbledore,"Understand what I'm saying. Should I tell you to hide, you must hide.",strategy
4984,Albus Dumbledore,"No.  I did not.  You see, Professor Slughorn possesses something I desire very dearly. And he will not part with it easily... I'd rather not divulge any more just yet, Harry.  But I promise. In time you will know everything.",strategy
7228,Albus Dumbledore,"Stand up, Severus. I haven't much time. What message do you bring from Lord Voldemort this time?",threats
4567,Albus Dumbledore,"Once he discovered the connection, Voldemort had little difficulty in manipulating you into thinking he had captured Sirius.",strategy
4583,Albus Dumbledore,"This magic is what your mother gave you when she died. That protection would only work, however, if you were cared for by a blood relative. Your Aunt, Petunia.",magic
4582,Albus Dumbledore,I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.,threats
3790,Albus Dumbledore,"I beg a few moments of your attention, as I have a few start of term announcements. Right off, our caretaker, the good Mr. Filch, has reminded me for what he says is the four-hundred and sixty-second time that he had an annually updated list of various banned items, usually introduced by our humour experts Fred and George Weasley...",hogwarts academics
3477,Albus Dumbledore,Perhaps. Personally I've never had much time for heroes.,mentoring
4559,Albus Dumbledore,"Yes. I thought he could overcome his feelings towards your father, but I was wrong. Some wounds cut too deep to be healed.",mentoring
4069,Albus Dumbledore,"Minerva, the rest of the Weasleys will need to be awoken.",strategy
4541,Albus Dumbledore,"You forget that Sirius was my friend too. You are not the only person on this earth capable of feelings, Harry.",social dynamics
7248,Albus Dumbledore,"My word that I shall never reveal the best of you, Severus? If you insist.",social dynamics
2928,Albus Dumbledore,"Sit down please. And now the moment you've all been waiting for, the champions selection!",hogwarts academics
1545,Albus Dumbledore,"I understand Tom, but I'm afraid Headmaster Dippet may have no choice.",threats
7,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life.",social dynamics
5537,Albus Dumbledore,This is beyond anything I imagined.  In my life I have seen things that are unimaginably horrific.  I know now... you will see worse.,mentoring
1814,Albus Dumbledore,Ah- it would take a true Gryffindor to pull that out of the hat.,hogwarts academics
2869,Albus Dumbledore,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them.",magical creatures
4891,Albus Dumbledore,"Just something to keep in mind. Now, off to bed.  Pip pip!",social dynamics
5659,Albus Dumbledore,"A passage, yes.  Very good. I once knew a boy years ago who made all the wrong choices.  Let me help you, Draco.",mentoring
1266,Albus Dumbledore,"Innocent until proven guilty, Severus.",mentoring
5617,Albus Dumbledore,"Too much... I can't... take it... I want... to die... kill... kill me... KILL ME, HARRY!",threats
5549,Albus Dumbledore,"True.  But magic, especially Dark magic...",threats
1253,Albus Dumbledore,"Argus! Argus, I Everyone will proceed to their dormitories immediately. Everyone except you three.",hogwarts academics
7246,Albus Dumbledore,The Dark Lord will return. And the boy will be in terrible danger when he does.,threats
2864,Albus Dumbledore,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff.",strategy
4561,Albus Dumbledore,"I would trust Severus Snape with my life, Harry. You have never recovered from your mistrust of him in your first year.",social dynamics
7266,Albus Dumbledore,There will come a time when Harry Potter must be told something. But you must wait until Voldemort is at his most vulnerable.,strategy
2930,Albus Dumbledore,The champion from Beauxbatons... Fleur Delacour,strategy
5591,Albus Dumbledore,"Oh, no, Harry.  Your blood is much more precious than mine.",mentoring
4563,Albus Dumbledore,"Again, some wounds run too deep to be healed, Harry. Severus and Sirius never liked each other at school. This has never changed.",mentoring
5541,Albus Dumbledore,"They can be anything.  The most commonplace of objects.  A ring, for example.  Or a book...",strategy
5570,Albus Dumbledore,"At times I forget how much you've grown.  At times I still see the small boy from the cupboard. Forgive my mawkishness, Harry.  I am an old man.",social dynamics
7350,Albus Dumbledore,'Help will always be given at Hogwarts to those who ask for it.',mentoring
